season,ncaa_division,ncaa_division_formatted,team_conference_name,team_id,school_name,sport_id,school_id
2010,2,II,NE10,70091,Adelphi,WLA,3
2010,2,II,NE10,70092,American Int'l,WLA,22
2010,2,II,NE10,70094,Bentley,WLA,56
2010,2,II,PSAC,70095,Bloomsburg,WLA,65
2010,2,II,PSAC,70097,East Stroudsburg,WLA,197
2010,2,II,NE10,70099,Franklin Pierce,WLA,241
2010,2,II,PSAC,70100,Gannon,WLA,246
2010,2,II,PSAC,70103,Lock Haven,WLA,360
2010,2,II,ECC,70104,LIU Post,WLA,362
2010,2,II,ECC,70105,Mercy,WLA,407
2010,2,II,PSAC,70106,Mercyhurst,WLA,408
2010,2,II,NE10,70107,Merrimack,WLA,410
2010,2,II,ECC,70109,Molloy,WLA,437
2010,2,II,NE10,70110,Southern N.H.,WLA,468
2010,2,II,NE10,70111,New Haven,WLA,470
2010,2,II,Conference Carolinas,70112,Pfeiffer,WLA,542
2010,2,II,CACC,70113,Jefferson,WLA,543
2010,2,II,Rollins,70116,Rollins,WLA,584
2010,2,II,NE10,70118,St. Anselm,WLA,593
2010,2,II,NE10,70123,Stonehill,WLA,682
2010,2,II,PSAC,70124,West Chester,WLA,765
2010,2,II,Conference Carolinas,70128,Limestone,WLA,1174
2010,2,II,CACC,70132,Wilmington (DE),WLA,1460
2010,2,II,Conference Carolinas,70133,Belmont Abbey,WLA,2683
2010,2,II,ECC,70134,Dowling,WLA,2692
2010,2,II,ECC,70135,Lake Erie,WLA,2746
2010,2,II,Conference Carolinas,70136,Converse,WLA,8935
2010,2,II,CACC,70138,Georgian Court,WLA,9004
2010,2,II,Conference Carolinas,70140,Queens (NC),WLA,11504
2010,2,II,ECC,70143,Seton Hill,WLA,30063
