season,ncaa_division,ncaa_division_formatted,team_conference_name,team_id,school_name,sport_id,school_id
2023,3,III,CSAC,546522,Wilson,WLA,12973
2023,3,III,NACC,546523,Edgewood,WLA,1066
2023,3,III,ODAC,546524,East. Mennonite,WLA,203
2023,3,III,DIII Independent,546525,Wis.-Eau Claire,WLA,793
2023,3,III,United East,546526,La Roche,WLA,1163
2023,3,III,SUNYAC,546527,Plattsburgh St.,WLA,547
2023,3,III,PAC,546528,Bethany (WV),WLA,59
2023,3,III,CCIW,546529,UChicago,WLA,137
2023,3,III,Great Northeast,546530,Anna Maria,WLA,26
2023,3,III,NWC,546531,Willamette,WLA,785
2023,3,III,USA South,546532,William Peace,WLA,17094
2023,3,III,OAC,546533,Marietta,WLA,385
2023,3,III,NWC,546534,Whitworth,WLA,1454
2023,3,III,NWC,546535,George Fox,WLA,1094
2023,3,III,CNE,546536,Gordon,WLA,1099
2023,3,III,ODAC,546537,Guilford,WLA,1112
2023,3,III,HCWLC,546538,Hanover,WLA,1115
2023,3,III,SAA,546539,Hendrix,WLA,1124
2023,3,III,USA South,546540,Huntingdon,WLA,1130
2023,3,III,North Atlantic,546541,Husson,WLA,1133
2023,3,III,Empire 8,546542,Keuka,WLA,1159
2023,3,III,NWC,546543,Linfield,WLA,1179
2023,3,III,Atlantic East,546544,Neumann,WLA,1254
2023,3,III,CNE,546545,U New England,WLA,1255
2023,3,III,Skyline,546546,St. Joseph's (L.I.),WLA,1340
2023,3,III,PAC,546547,Waynesburg,WLA,1434
2023,3,III,PAC,546548,Westminster (PA),WLA,1451
2023,3,III,Landmark,546549,Goucher,WLA,1467
2023,3,III,Skyline,546550,Mt. St. Mary (NY),WLA,1468
2023,3,III,HCWLC,546551,Franklin,WLA,2694
2023,3,III,SAA,546552,Oglethorpe,WLA,2713
2023,3,III,NWC,546553,Pacific (OR),WLA,2751
2023,3,III,North Atlantic,546554,Thomas (ME),WLA,2758
2023,3,III,Great Northeast,546555,Albertus Magnus,WLA,2798
2023,3,III,MAC Commonwealth,546557,Hood,WLA,8404
2023,3,III,Great Northeast,546558,Lasell,WLA,8486
2023,3,III,HCWLC,546559,Mt. St. Joseph,WLA,8567
2023,3,III,CSAC,546560,Notre Dame (MD),WLA,8600
2023,3,III,Great Northeast,546561,Saint Joseph (CT),WLA,8687
2023,3,III,Michigan Intercol. Ath. Assn.,546562,St. Mary's (IN),WLA,8688
2023,3,III,SCAC,546563,Southwestern (TX),WLA,8746
2023,3,III,MAC Commonwealth,546564,Eastern,WLA,8968
2023,3,III,CNE,546565,Endicott,WLA,8981
2023,3,III,North Atlantic,546566,SUNY Poly,WLA,9500
2023,3,III,Empire 8,546567,Russell Sage,WLA,11036
2023,3,III,Atlantic East,546568,Gwynedd Mercy,WLA,12399
2023,3,III,Atlantic East,546569,Centenary (NJ),WLA,12884
2023,3,III,CSAC,546570,Cedar Crest,WLA,14795
2023,3,III,MAC Freedom,546571,Misericordia,WLA,16142
2023,3,III,Great Northeast,546572,Rivier,WLA,18422
2023,3,III,CCS,546573,Piedmont,WLA,21830
2023,3,III,MAC Commonwealth,546574,Stevenson,WLA,21852
2023,3,III,Great Northeast,546575,JWU (Providence),WLA,22626
2023,3,III,Empire 8,546577,Medaille,WLA,23725
2023,3,III,Skyline,546578,Farmingdale St.,WLA,27892
2023,3,III,SAA,546579,Birmingham-So.,WLA,28593
2023,3,III,HCWLC,546580,Transylvania,WLA,28749
2023,3,III,Skyline,546581,Purchase,WLA,30029
2023,3,III,MWLC,546582,Northwestern-St. Paul,WLA,30031
2023,3,III,Michigan Intercol. Ath. Assn.,546583,Trine,WLA,30037
2023,3,III,NECC,546584,Mitchell,WLA,30042
2023,3,III,CSAC,546585,Keystone,WLA,30047
2023,3,III,PAC,546586,Saint Vincent,WLA,30064
2023,3,III,North Atlantic,546587,VTSU Lyndon,WLA,30065
2023,3,III,United East,546588,SUNY Morrisville,WLA,30067
2023,3,III,PAC,546589,Franciscan,WLA,30069
2023,3,III,Liberty League,546590,William Smith,WLA,30073
2023,3,III,United East,546591,Lancaster Bible,WLA,30085
2023,3,III,USA South,546593,Southern Va.,WLA,30164
2023,3,III,North Atlantic,546594,SUNY Canton,WLA,30165
2023,3,III,NACC,546595,IIT,WLA,30172
2023,3,III,CSAC,546596,Bryn Athyn,WLA,30188
2023,3,III,USA South,546597,Brevard,WLA,30094
2023,3,III,MASCAC,546598,Salem St.,WLA,621
2023,3,III,Landmark,546599,Juniata,WLA,325
2023,3,III,USA South,546601,N.C. Wesleyan,WLA,491
2023,3,III,PAC,546602,Chatham,WLA,10972
2023,3,III,ODAC,546603,Averett,WLA,44
2023,3,III,USA South,546604,Pfeiffer,WLA,542
2023,3,III,Michigan Intercol. Ath. Assn.,546605,Adrian,WLA,4
2023,3,III,Michigan Intercol. Ath. Assn.,546606,Albion,WLA,15
2023,3,III,MAC Commonwealth,546607,Albright,WLA,16
2023,3,III,Empire 8,546608,Alfred,WLA,18
2023,3,III,PAC,546609,Allegheny,WLA,19
2023,3,III,MAC Freedom,546610,DeSales,WLA,20
2023,3,III,Michigan Intercol. Ath. Assn.,546611,Alma,WLA,21
2023,3,III,NESCAC,546612,Amherst,WLA,24
2023,3,III,MWLC,546613,Augsburg,WLA,38
2023,3,III,CCIW,546614,Augustana (IL),WLA,40
2023,3,III,NACC,546615,Aurora,WLA,42
2023,3,III,NEWMAC,546616,Babson,WLA,45
2023,3,III,OAC,546617,Baldwin Wallace,WLA,46
2023,3,III,NESCAC,546618,Bates,WLA,50
2023,3,III,NACC,546619,Beloit,WLA,53
2023,3,III,NESCAC,546620,Bowdoin,WLA,69
2023,3,III,ODAC,546621,Bridgewater (VA),WLA,75
2023,3,III,MASCAC,546622,Bridgewater St.,WLA,76
2023,3,III,SUNYAC,546623,SUNY Brockport,WLA,78
2023,3,III,Centennial,546624,Bryn Mawr,WLA,82
2023,3,III,SUNYAC,546625,Buffalo St.,WLA,85
2023,3,III,Atlantic East,546626,Cabrini,WLA,88
2023,3,III,Michigan Intercol. Ath. Assn.,546627,Calvin,WLA,114
2023,3,III,OAC,546628,Capital,WLA,117
2023,3,III,CCIW,546629,Carroll (WI),WLA,120
2023,3,III,CCIW,546630,Carthage,WLA,121
2023,3,III,Little East,546631,VTSU Castleton,WLA,123
2023,3,III,Landmark,546632,Catholic,WLA,124
2023,3,III,SAA,546633,Centre,WLA,132
2023,3,III,SCIAC,546634,Chapman,WLA,134
2023,3,III,C2C,546635,Chris. Newport,WLA,139
2023,3,III,SCIAC,546636,Claremont-M-S,WLA,142
