season,ncaa_division,ncaa_division_formatted,team_conference_name,team_id,school_name,sport_id,school_id,url
2025,3,III,CNE,594287,Hartford,WLA,272,https://hartfordathletics.com/sports/womens-lacrosse
2025,3,III,WIAC,594289,Saint Benedict,WLA,595,https://csbsju.edu/women/womens-lacrosse
2025,3,III,WIAC,594291,Wis.-Stout,WLA,803,https://uwstoutbluedevils.com/sports/womens-lacrosse
2025,3,III,United East,594293,Wilson,WLA,12973,https://wilsonphoenix.com/sports/womens-lacrosse
2025,3,III,NACC,594294,Edgewood,WLA,1066,https://edgewood.edu/sports/womens-lacrosse
2025,3,III,ODAC,594296,East. Mennonite,WLA,203,https://emuroyals.com/sports/womens-lacrosse
2025,3,III,AMCC,594298,La Roche,WLA,1163,https://lruredhawks.com/sports/womens-lacrosse
2025,3,III,SUNYAC,594300,Plattsburgh St.,WLA,547,https://plattsburghcardinals.com/sports/womens-lacrosse
2025,3,III,PAC,594302,Bethany (WV),WLA,59,https://battlingbisons.com/sports/womens-lacrosse
2025,3,III,Great Northeast,594304,Anna Maria,WLA,26,https://amcatathletics.com/sports/womens-lacrosse
2025,3,III,NWC,594306,Willamette,WLA,785,https://gobearcats.com/sports/womens-lacrosse
2025,3,III,USA South,594308,William Peace,WLA,17094,https://wpuathletics.com/sports/womens-lacrosse
2025,3,III,OAC,594309,Marietta,WLA,385,https://pioniersports.com/sports/womens-lacrosse
2025,3,III,NWC,594311,Whitworth,WLA,1454,https://whitworthpirates.com/sports/womens-lacrosse
2025,3,III,CNE,594312,Gordon,WLA,1099,https://athletics.gordon.edu/sports/womens-lacrosse
2025,3,III,ODAC,594314,Guilford,WLA,1112,https://guilfordquakers.com/sports/womens-lacrosse
2025,3,III,HCAC,594316,Hanover,WLA,1115,https://athletics.hanover.edu/sports/womens-lacrosse
2025,3,III,SAA,594318,Hendrix,WLA,1124,https://hendrixwarriors.com/sports/womens-lacrosse
2025,3,III,USA South,594319,Huntingdon,WLA,1130,https://huntingdonhawks.com/sports/womens-lacrosse
2025,3,III,North Atlantic,594321,Husson,WLA,1133,https://hussonathletics.com/sports/womens-lacrosse
2025,3,III,Empire 8,594322,Keuka,WLA,1159,https://keukastorm.com/sports/womens-lacrosse
2025,3,III,NWC,594324,Linfield,WLA,1179,https://linfieldwildcats.com/sports/womens-lacrosse
2025,3,III,Atlantic East,594325,Neumann,WLA,1254,https://neumannknights.com/sports/womens-lacrosse
2025,3,III,CNE,594327,U New England,WLA,1255,https://unenor'easters.com/sports/womens-lacrosse
2025,3,III,Skyline,594329,St. Joseph's (L.I.),WLA,1340,https://sjcnyathletics.com/sports/womens-lacrosse
2025,3,III,PAC,594333,Westminster (PA),WLA,1451,https://westminstertitans.com/sports/womens-lacrosse
2025,3,III,Landmark,594334,Goucher,WLA,1467,https://gouchergophers.com/sports/womens-lacrosse
2025,3,III,Skyline,594336,Mt. St. Mary (NY),WLA,1468,https://mountathletics.com/sports/womens-lacrosse
2025,3,III,HCAC,594338,Franklin,WLA,2694,https://franklingrizzlies.com/sports/womens-lacrosse
2025,3,III,SAA,594339,Oglethorpe,WLA,2713,https://ouspetrels.com/sports/womens-lacrosse
2025,3,III,NWC,594341,Pacific (OR),WLA,2751,https://pacificboxers.com/sports/womens-lacrosse
2025,3,III,North Atlantic,594343,Thomas (ME),WLA,2758,https://thomasterriers.com/sports/womens-lacrosse
2025,3,III,Great Northeast,594345,Albertus Magnus,WLA,2798,https://albertusfalcons.com/sports/womens-lacrosse
2025,3,III,AMCC,594347,Hilbert,WLA,8398,https://hilberthawks.com/sports/womens-lacrosse
2025,3,III,MAC Commonwealth,594349,Hood,WLA,8404,https://hoodblazers.com/sports/womens-lacrosse
2025,3,III,Great Northeast,594351,Lasell,WLA,8486,https://lasellathletics.com/sports/womens-lacrosse
2025,3,III,HCAC,594353,Mt. St. Joseph,WLA,8567,https://msjathletics.com/sports/womens-lacrosse
2025,3,III,United East,594355,Notre Dame (MD),WLA,8600,https://notredameathletics.com/sports/womens-lacrosse
2025,3,III,Great Northeast,594356,Saint Joseph (CT),WLA,8687,https://sjcathletics.com/sports/womens-lacrosse
